SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(Cl)c2F)n1,2.72,,6.10632,461.08,3,7,9,111.906,107.45,2.7165
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(F)c2F)n1,2.2,0.01,7.88733,445.11,3,7,9,106.854,107.45,2.2022
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCC2)nc(SCc2cccc(F)c2F)n1,2.59,0.006,30.5316,459.12,3,7,9,111.471,107.45,2.5923
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,2.98,0.014,76.329,473.14,3,7,9,116.088,107.45,2.9824
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(Cl)c2F)n1,2.34,0.015,20.3544,491.09,3,8,9,118.108,116.68,2.343
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(F)c2F)n1,1.83,0.03,11.70378,475.12,3,8,9,113.056,116.68,1.8287
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(O)sc12,2.74,0.00295,38.1645,384.05,3,8,6,92.9643,91.16,3.1551
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,0.34,0.73,145.304973,217.08,2,3,3,55.3878,57.61,0.6279
C[C@H](Nc1c(C(=N)O)nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc12)C1CCOCC1,3.35,0.13,7.12404,478.27,3,8,10,137.5202,116.48,4.13267
C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl,2.9,,280.89072,352.1,1,3,2,93.8857,49.41,4.9807
C[C@H]1C(=O)N=S(=O)(N1)C2=CC=CC(=C2)C3=CC=C(C=C3)C,,,49.61385,300.09,1,2,2,83.0561,58.53,2.92222
C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,0.55,0.629,4.427082,281.16,2,4,3,72.5565,83.47,1.0415
C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC[C@@H]6C[C@@H](CC[C@@]6([C@H]5CC4=C(C3)C)C)NS(=O)(=O)C)C)NC1,5.47,,8.4648861,504.34,2,4,2,140.4272,67.43,5.0288
C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1,5.25,0.0741,74.80242,411.31,2,3,0,120.0255,41.49,5.0019
C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,1.72,0.23,13.8715236,374.21,3,5,2,99.5954,94.83,1.8036
C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,3.75,,531.7587,318.15,2,5,0,86.3921,83.83,3.5796
C[C@H]1CN(CCN1C(=O)CC2=CC=C(C=C2)Cl)CC3=C(C=CC(=C3)Cl)CC(=O)O,,,34.34805,434.12,1,3,6,114.3998,60.85,3.8959
C[C@H]1CN(CCN1C(=O)CC2=CC=C(C=C2)Cl)CC3=C(C=CC(=C3)Cl)O[C@@H](C)C(=O)O,,,11.95821,464.13,1,4,7,120.7858,70.08,4.1207
C[C@H]1CN(CCN1S(=O)(=O)CC2=CC=CC=C2)CC3=C(C=CC(=C3)Cl)CC(=O)O,,,22.13541,436.12,1,4,7,113.3026,77.92,3.0032
C[C@H]1Cn2c(nnc2C(C)(F)F)CN1C(=O)c1cccc(C(F)(F)c2nnc(O)c3ccccc23)c1,3.81,0.089,3.05316,500.16,1,7,4,119.5663,97.03,4.2232
C[C@H]1CO[C@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,1.36,0.002,16.0138242,405.11,2,6,3,95.2665,100.87,0.9627
C[C@H]1COCCN1c1cc(C(C)(C)S(C)(=O)=O)nc(-c2ccc(NC(O)=NC3CC3)cc2)n1,2.93,,127.215,473.21,2,7,6,129.6733,117.01,3.1367
C[C@H]1COCCN1c1cc(C2(S(C)(=O)=O)CC2)nc(-c2ccc(NC(O)=NC3CC3)cc2)n1,2.69,,96.17454,471.19,2,7,6,127.5593,117.01,2.8907
C[C@H]1COCCN1c1nc(N2CCOC[C@@H]2C)c2ccc(-c3ccc4ncnc(O)c4c3)nc2n1,2.38,,448.81452,473.22,1,10,3,132.7838,109.62,2.7908
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)C(=O)N(C)C)N5CCOC[C@@H]5C,2.85,,10.864161,506.26,0,9,5,142.5925,93.15,2.8524
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)C(C)O)N5CCOC[C@@H]5C,3.2,,96.734286,479.25,1,9,5,135.2088,93.07,3.2039
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NCCO)N5CCOC[C@@H]5C,,,25.443,492.25,2,9,6,137.442,112.94,1.8641
C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,3.7,0.02893,17.7057837,315.1,0,3,4,83.708,30.71,1.9885
C=CC(=O)NC1=CC=C(C=C1)F,1.46,,7.6329,165.06,1,1,2,45.2267,29.1,1.9502
C=CC(=O)NC1=CC=CC=C1,1.44,,78.61887,147.07,1,1,2,45.2687,29.1,1.8111
C=CC(O)=Nc1cc(N=c2nc(-c3cn(C)c4ccccc34)c(C#N)c[nH]2)c(OC)cc1N(C)CCN(C)C,4.38,0.089,25.443,524.26,2,8,9,155.1775,118.06,4.45288
C=CC(O)=Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.82,0.075,14.24808,513.29,2,8,10,156.7035,91.04,5.46772
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,5.16,0.023,25.443,533.23,2,8,10,156.9765,91.04,5.8127
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.32,0.032,35.6202,520.21,2,9,10,149.2495,103.41,4.9687
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,4.07,0.025,13.23036,518.19,2,9,8,147.1135,103.41,4.7211
C=CC(O)=Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.51,1.2645,8.65062,499.27,2,8,10,151.9665,91.04,5.1593
C=CC1=CC=CC=C1,2.95,0.1801,109.379457,104.06,0,0,1,36.533,0.0,2.3296
C=CCC1=CC2=C(C=C1)OCO2,2.06,0.01789,35.925516,162.07,0,2,2,46.466,18.46,2.1438
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,3.23,0.9621,20.9039688,246.09,0,4,6,67.401,52.6,2.3722
C=CCOC1=C(C=CC(=C1)C2=CC=CC3=C2OC(=CC3=O)N4CCOCC4)NC(=O)CN5CCOCC5,,,211.634874,505.22,1,8,8,142.5327,93.48,3.1321
C=CCOC1=NC(=NC(=N1)OCC=C)OCC=C,2.22,,23.585661,249.11,0,6,9,66.903,66.36,1.566
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],4.64,,2083.7817,292.84,0,2,1,58.1464,43.14,4.8618
C1(=C(C(=NC(=C1Cl)Cl)Cl)Cl)Cl,3.53,4.42e-08,921.0366,248.85,0,1,0,49.287,12.89,4.3486
C1[C@@H]([C@H](C(=O)O1)CC2=CC(=CC=C2)O)CC3=CC(=CC=C3)O,2.81,0.0121,353.6577,298.12,2,4,4,81.5606,66.76,2.6722
C1[C@H]([C@H](CN1C(=O)[C@@H]([C@H](CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl)O)O)O,0.42,0.0234,5.317587,457.14,5,5,6,119.3093,125.89,1.0873
