SMILES,Clint,logP,Fup
CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,0.44568538346908626,0.7582417582417582,0.012628336755646818
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O,0.6833226721753775,0.875,0.009260780287474334
CC(C)(C)NC(=O)NCCN1CCC(CC1)(CNC(=O)C2=CC(=CC(=C2)Cl)Cl)CO,0.47414531898352763,0.6043956043956042,0.17453798767967146
CC(C)(C=NOC(=O)NC)SC,0.1709996251861231,0.3612637362637362,0.48347022587269
CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)O,0.6846124480249032,0.7129120879120878,0.01344969199178645
CC(C)(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,0.4459424364170836,0.6758241758241758,0.006160164271047227
CC(C)[C@@H](C(=O)N[C@H]1CC2=CC=CC=C2[C@H]3CCC[C@H](N3C1=O)C(=O)O)SC(=O)C,0.4372353670357392,0.5453296703296703,0.3172484599589323
CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,0.7021868631463747,0.6662087912087912,0.028316221765913765
CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,0.3188288937476228,0.4615384615384615,0.1450718685831622
CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C(C2=O)C=C(C=C3)O,0.7717650709573846,0.7939560439560438,0.032340862422997954
CC(C)C1=C(C(=CC=C1)C(C)C)O,0.9035658220659932,0.7266483516483515,0.006160164271047227
CC(C)C1=CC(=C(C=C1O)O)C(=O)N2CC3=C(C2)C=C(C=C3)CN4CCN(CC4)C,0.6610096162516416,0.46840659340659335,0.35934291581108835
CC(C)C1=CC(=CC=C1)C(C)C,0.48872964234740823,0.7719780219780219,0.002433264887063656
CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,0.5033845371017484,0.6826923076923077,0.00513347022587269
CC(C)CN1[C@H](C)Cc2cc(O)ccc2[C@@]1(C)c1ccc(/C=C/C(=O)O)cc1,0.6192629000009452,0.846153846153846,0.00513347022587269
CC(C)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,0.7153518766098841,0.8214285714285714,0.06160164271047229
CC(C)CN1[C@H](C)Cc2ccccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,0.7648180530400088,0.8626373626373627,0.01129363449691992
CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F,0.6947944276200543,0.6456043956043955,0.1309034907597536
CC(C)N(C1=CC=CC=C1)C(=O)CCl,0.8348197362580223,0.5054945054945055,0.34394250513347024
CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C,0.5248835224157213,0.6181318681318682,0.2224845995893224
CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,0.12371284629109519,0.5604395604395604,0.1540041067761807
CC(C)N1CCC(CC1)N(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=CC=C3,0.7231686706802699,0.872252747252747,0.1437371663244353
CC(C)n1nc(-c2c[nH]c(=N)nc2-c2ccccc2)ccc1=O,0.5272888260098995,0.5535714285714285,0.2238193018480493
CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C,0.5863318400159195,0.6085164835164835,0.02721765913757701
CC(C)NC1=NC(=NC(=N1)OC)NC(C)C,0.496082592279412,0.6167582417582418,0.019404517453798766
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,0.8530565275197819,0.6881868131868131,0.07525667351129364
CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC,0.7505380332402393,0.6414835164835164,0.8480492813141685
CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,0.5816433139484721,0.7142857142857142,0.009055441478439426
CC(C)OC1=CC=CC=C1OC(=O)NC,0.4701948493286585,0.4148351648351648,0.2113963039014374
CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,0.4474762010565159,0.7774725274725274,0.0
CC(C1=CC=C(C=C1)O)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,0.7043710305219253,0.6593406593406592,0.004209445585215606
CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,0.30957964205431227,0.23076923076923075,0.06160164271047229
CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,0.25610824555156936,0.6043956043956042,0.10123203285420947
CC(CCl)Cl,0.8031439523787228,0.47939560439560436,0.5483572895277209
CC(O)=Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,0.11271902869174763,0.6497252747252746,0.11293634496919919
CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,0.0,0.8447802197802197,0.010266940451745381
