SMILES,Clint,logP,Fup,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1,0.5434985234798053,0.6432748538011696,0.020944558521560575,0.3444673679316557,0.2,0.4,0.23529411764705882,0.37193099381682304,0.4040866873065016
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0.5947074691585094,0.6286549707602339,0.04650924024640658,0.32258673795548326,0.4,0.4,0.058823529411764705,0.3343333999102537,0.4375851393188855
CN(C)C(=O)C1(N2CCCCC2)CCN(CCC2(c3ccc(Cl)c(Cl)c3)CN(C(=O)c3ccccc3)CCO2)CC1,0.5752102476405258,0.752923976608187,0.0027720739219712527,0.8255797059336316,0.0,0.5,0.4117647058823529,0.8234772118857285,0.3487925696594427
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,0.523206810150976,0.6710526315789472,0.04958932238193019,0.34305805776718773,0.2,0.2,0.0,0.3685429879403944,0.23095975232198143
CC(=O)SC(C(=O)NC1Cc2ccccc2C2CCCC(C(=O)O)N2C1=O)C(C)C,0.4372353670357392,0.5160818713450293,0.3172484599589323,0.5813622362991806,0.4,0.5,0.29411764705882354,0.5599544592673749,0.6426006191950465
O=C(O)c1cccc(N(Cc2cccnc2)c2ccc(OC(F)F)c(OC(F)F)c2)c1,0.48678792500807655,0.8874269005847952,0.00431211498973306,0.587072121810891,0.2,0.5,0.5294117647058824,0.5035360821301365,0.44513931888544894
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0.6251966337456817,0.587719298245614,0.014640657084188912,0.34581856221305285,0.6000000000000001,0.5,0.058823529411764705,0.3431533407751143,0.5628482972136224
CC1=C2CC3C(CC=C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C,0.6969722929837174,0.9225146198830408,0.0658110882956879,0.5510548032777358,0.4,0.30000000000000004,0.0,0.5927431510096999,0.2569040247678019
Cc1ncc([N+](=O)[O-])n1CCO,0.3469274651331612,0.15204678362573099,0.9753593429158112,0.20199628058348346,0.2,0.5,0.1764705882352941,0.17250698130530676,0.5027244582043344
COc1ccc(S(=O)(=O)N2C(=O)C(c3ccccc3OC)(N3CC(O)CC3C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1,0.7260839047514128,0.5628654970760234,0.052156057494866535,0.8675684314523158,0.2,0.9,0.47058823529411764,0.8005802258070155,0.7796904024767802
O=CN1CCOCC1,0.11304377453387579,0.0,0.9679671457905545,0.12063404428430291,0.0,0.2,0.058823529411764705,0.10761726500245558,0.18291021671826627
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.30241759648064803,0.5804093567251462,0.0030800821355236128,0.3661881792293834,0.0,0.2,0.058823529411764705,0.3902813236904523,0.20229102167182664
CCCCOc1ccc(N)cc1,0.6914714183953329,0.3684210526315789,0.15913757700205342,0.19336607194746325,0.2,0.2,0.23529411764705882,0.22841676021871846,0.21826625386996906
FC(C(F)(F)F)C(F)(F)F,0.4230162772187446,0.42543859649122806,0.460164271047228,0.20045620968210612,0.0,0.0,0.0,0.0469563310147965,0.0
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,0.5862243398229584,0.5599415204678362,0.10698151950718687,0.3792933108618585,0.0,0.5,0.23529411764705882,0.35738667398483004,0.3530030959752322
CCOC(=O)C1=CC2(CC)CCCN3CCc4c(n1c1ccccc41)C32,0.0,0.8347953216374269,0.010266940451745381,0.46226826291625495,0.0,0.4,0.1764705882352941,0.501590164134183,0.21343653250773995
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,0.6321372521055056,0.7134502923976608,0.05686858316221767,0.40827860754344164,0.0,0.7000000000000001,0.4117647058823529,0.34669021758997554,0.36160990712074303
COc1ccc2c(c1)c(CC(=O)O)c(C)n2-c1ccnc2cc(Cl)ccc12,0.24416165463283004,0.8362573099415204,0.0,0.5056953565409426,0.2,0.4,0.23529411764705882,0.5195754688242533,0.39845201238390093
O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,0.16441427168580908,0.4473684210526315,0.051334702258726904,0.4155866798396002,0.6000000000000001,0.4,0.29411764705882354,0.3947617561684753,0.5913312693498453
O=C(C=Cc1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,0.6622219221245753,0.5614035087719298,0.22587268993839837,0.5043877491718487,0.8,0.4,0.5294117647058824,0.5384142649086828,0.548544891640867
CCCCCCOc1ccc(N)cc1,0.8555011132494511,0.685672514619883,0.015605749486652979,0.23409077700935665,0.2,0.2,0.3529411764705882,0.27733755187304543,0.21826625386996906
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,0.5565535449674256,0.5760233918128654,0.010266940451745381,0.4766955308885919,0.0,0.7000000000000001,0.29411764705882354,0.4537257733739294,0.6693498452012384
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,0.29066985188378,0.6549707602339181,0.06057494866529775,0.4708258266984367,0.2,0.2,0.23529411764705882,0.4754831815573808,0.336656346749226
CCOP(=S)(OCC)OP(=S)(OCC)OCC,0.8943027880404615,0.7383040935672515,0.010882956878850105,0.4213256232928459,0.0,0.7000000000000001,0.5882352941176471,0.36034290116082257,0.28575851393188856
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0.48618881317480717,0.5394736842105262,0.04106776180698153,0.5131923054570815,0.0,0.6000000000000001,0.3529411764705882,0.5225380534780437,0.4312074303405573
CON=C(C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,0.6041191219798171,0.7412280701754385,0.026899383983572903,0.6190067995583193,0.0,0.9,0.4117647058823529,0.5550830419047852,0.598452012383901
CN1CCN(c2ccccc2C=C2SCCN(c3ccc(Cl)c(Cl)c3)C2=O)CC1,0.6443587053501353,0.8406432748538012,0.023511293634496923,0.603039460684605,0.0,0.4,0.1764705882352941,0.6212273004930754,0.16588235294117648
COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,0.9807536631675426,0.4970760233918128,0.04117043121149898,0.49417388272214796,0.4,0.6000000000000001,0.5882352941176471,0.48977902996544176,0.5762229102167183
CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C,0.5248835224157213,0.5935672514619883,0.2224845995893224,0.29225024699250307,0.0,0.1,0.1764705882352941,0.3360997191584183,0.12575851393188855
CCOCN(C(=O)CCl)c1c(C)cccc1CC,0.8660836657880289,0.5979532163742689,0.15379876796714578,0.3444673679316557,0.0,0.2,0.3529411764705882,0.3555588991179529,0.18291021671826627
CNC(=O)N(C)c1nnc(C(C)(C)C)s1,0.429800696000734,0.41666666666666663,0.41806981519507197,0.28486952984250596,0.2,0.4,0.058823529411764705,0.28250988985139924,0.35987616099071207
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,0.702813938094295,0.7119883040935672,0.029568788501026698,0.3952897076771082,0.0,0.6000000000000001,0.4117647058823529,0.3755160815049845,0.33108359133126936
CCCCCc1ccc(N)cc1,0.6210054288046107,0.6505847953216374,0.013757700205338811,0.19048933573545648,0.2,0.1,0.23529411764705882,0.24338862043261575,0.16111455108359135
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0.7155929465770242,0.6228070175438596,0.09763860369609857,0.31379671064101816,0.2,0.2,0.11764705882352941,0.27607294358109313,0.25739938080495356
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0.5575844767903044,0.5467836257309941,0.15554414784394252,0.29056488638344863,0.2,0.1,0.058823529411764705,0.27032472407221886,0.20024767801857588
CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1,0.44568538346908626,0.7426900584795321,0.012628336755646818,0.4230400418434358,0.2,0.4,0.1764705882352941,0.4740824172825915,0.31541795665634675
CCc1cc2c(cc1CC)CC(NCC(O)c1ccc(O)c3[nH]c(=O)ccc13)C2,0.4230754909700413,0.6871345029239766,0.04106776180698153,0.5233044691114082,0.8,0.4,0.3529411764705882,0.5692443236994588,0.5284829721362229
