,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
137,CCCCCCCCCCCCCC[PH](CCCC)(CCCC)CCCC,8.16,,16.7,400.42,0,0,22,133.585,0.0
138,CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,4.53,0.0,9.915,366.09,1,5,9,88.4354,74.44
139,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,1.45,0.2895,2.351,289.14,2,4,4,78.497,91.65
140,CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,1.86,0.1513,2.457,311.13,2,4,3,86.625,91.65
141,CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O,0.22,0.9231,0.3874,261.11,2,4,3,69.119,91.65
142,FCC(F)(F)F,0.83,0.8572,0.101,102.01,0,0,0,12.03,0.0
143,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,3.54,0.243,20.05,518.16,2,7,7,141.1859,131.69
144,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.97,0.295,0.0,248.06,2,4,2,67.1606,86.18
145,CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,3.9,0.041,16.22,313.07,1,4,6,79.9058,50.94
146,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,3.87,,191.0,256.15,2,2,2,77.8156,40.46
147,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,7.15,0.00598,18.7,363.96,2,2,2,88.3816,40.46
148,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,6.66,0.00107,50.5,539.76,2,2,2,99.1416,40.46
149,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,5.2,0.00968,33.9,382.14,0,3,1,106.948,42.43
150,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,3.07,0.0369,9.89,312.21,1,2,1,90.4928,37.3
151,CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O,4.91,0.0166,11.4,250.19,2,2,4,76.4056,40.46
152,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,4.01,0.004357,24.76,463.95,1,6,4,87.2945,111.2
153,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,6.5,0.0,24.81,418.06,0,2,4,81.559,26.3
154,COc1ccc(CCOC2CCCCC2N2CCC(O)C2)cc1OC,3.43,0.58,6.46,349.23,1,5,7,97.4428,51.16
155,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,2.84,0.101,0.0,278.09,0,1,3,85.8345,17.07
156,CCC(C)=O,0.29,0.8744,50.86,72.06,0,1,1,20.972,17.07
157,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,6.92,1.59e-08,15.3,351.91,0,0,2,85.037,0.0
158,CC(Cl)CCl,1.99,0.5441,57.19,111.98,0,0,1,26.035,0.0
159,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1,0.58,6.231,303.1,0,5,2,75.276,64.43
160,CC1=CC(=O)CC(C)(C)C1,1.71,,18.7,138.1,0,1,0,41.779,17.07
161,CC1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1,2.9,0.0,110.4,352.1,1,3,2,93.8857,49.41
162,CCCCSP(=O)(SCCCC)SCCCC,5.7,0.06651,125.1,314.1,0,4,12,89.7045,17.07
163,O=C1OCC(Cc2cccc(O)c2)C1Cc1cccc(O)c1,2.81,0.0121,139.0,298.12,2,4,4,81.5606,66.76
164,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,4.37,0.00942,261.0,402.23,0,8,15,101.332,105.2
165,COC(=O)C=C(C)OP(=O)(OC)OC,0.13,0.674,4.7,224.04,0,6,5,48.4825,71.06
166,C=CC(=O)Nc1ccc(OC)cc1,1.37,,10.72,177.08,1,2,3,51.8207,38.33
167,C=CC(=O)Nc1ccc(C)cc1,1.74,,21.38,161.08,1,1,2,50.0057,29.1
168,[Na+].[O-][Cl+][O-],-0.259,,75.4,89.95,0,2,0,0.0,46.12
169,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],4.81,0.0,1.28,461.05,0,7,7,101.1349,104.97
170,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,5.04,4.52e-07,0.0,269.81,0,0,0,51.901,0.0
171,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,3.77,0.01823,35.66,242.13,2,2,3,72.9586,40.46
172,Oc1c(Cl)cc(Cl)c2cccnc12,2.5,,5.798,212.97,1,2,0,53.4278,33.12
173,CCCCC1(CC)C(=O)NC(=O)NC1=O,1.73,0.6,1.9,212.12,2,3,4,53.9304,75.27
174,CC(C)(C)c1ccc(N)cc1,2.7,0.155,10.7,149.12,1,1,0,49.5544,26.02
175,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,4.73,0.0,37.6,331.18,0,4,4,88.498,63.68
176,Cn1nc(CO)nc1NCCCOc1cccc(CN2CCCCC2)c1,1.63,0.96,11.0,359.23,2,7,9,101.0975,75.44
177,O.c1ccc([Sn](c2ccccc2)c2ccccc2)cc1,5.13,0.0,7.749,369.03,0,0,3,87.5958,31.5
178,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,-0.64,0.84,0.0,337.04,4,6,7,83.0924,175.83
179,NCC1(c2cccs2)CCCCC1,2.54,,1.069,195.11,1,2,2,58.1364,26.02
180,CCCC(C)C1(CC)C(=O)N=C(O)NC1=O,2.1,0.39,0.723,226.13,2,2,4,60.0095,78.76
181,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,3.2,0.1538,7.14,293.13,1,4,4,79.6768,50.94
182,CNCC(O)CC12CCC(c3ccccc31)c1ccccc12,3.64,0.19,3.037,293.18,2,2,4,89.2915,32.26
183,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,6.1,0.04333,4.574,369.82,0,0,0,76.098,0.0
184,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,3.6,,16.22,468.17,3,8,7,129.4656,100.64
185,FC(F)(Cl)C(F)(Cl)Cl,3.16,0.3622,0.2524,185.9,0,0,1,26.345,0.0
186,CCCN(CCC)C(=O)SCC,3.21,0.0,80.36,189.12,0,2,5,55.683,20.31
187,Cc1cc2nc(NCCCO)n(CC(=O)c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2cc1C,4.67,,0.8591,465.3,3,6,7,139.2368,87.38
188,FC(F)(Cl)Cl,2.16,0.773,0.2524,119.93,0,0,0,16.653,0.0
189,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,3.14,,3.0,270.06,1,3,2,60.6372,55.13
190,COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2nonc12,4.28,0.04,18.0,371.15,0,8,4,97.088,103.88
191,FC(F)(F)Br,1.86,0.838,5.048,147.91,0,0,0,14.982,0.0
192,C[As](C)(=O)O,0.74,0.9058,0.1976,137.97,1,1,0,20.3873,37.3
193,COC(=O)C1C(C#N)=NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,2.39,0.013,2160.0,385.13,0,8,5,98.3194,131.89
194,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.02,0.001515,11.93,498.95,1,2,7,53.7912,60.16
195,COc1nc(C)nc(Cl)c1NC1=NCCN1,0.9,0.93,3.0,241.07,2,6,2,62.2584,71.43
196,C=C(Cl)Cl,2.13,0.428,123.5,95.95,0,0,0,20.846,0.0
197,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,4.26,0.01429,0.0,404.26,1,5,6,110.8378,72.83
198,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,4.76,,38.9,324.01,1,1,3,80.4038,37.3
199,CC,1.81,,150.0,30.05,0,0,0,11.348,0.0
200,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,2.2,0.08599,2.319,381.07,2,9,5,88.2377,149.47
201,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,4.21,0.006078,250.3,397.06,1,6,10,100.8155,64.63
202,Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1,3.1,0.0,0.0,302.01,0,4,2,78.514,51.56
203,CCCC(=NOCC)C1C(=O)CC(CC(C)SCC)CC1=O,4.38,0.05472,11.87,327.19,0,5,9,92.408,55.73
204,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,3.28,0.055,52.96,395.16,1,5,5,108.7232,75.17
205,CCCCCCCCN(C)C,2.67,0.5627,35.14,157.18,0,1,7,51.93,3.24
206,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,0.61,0.498,0.0,232.12,2,2,4,67.2384,54.12
207,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6.06,,40.7,262.23,1,1,0,84.2068,20.23
208,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,2.78,0.0477,23.82,316.99,0,6,5,77.703,55.84
209,CSc1nc(NC(C)C)nc(NC(C)C)n1,3.51,0.0,35.78,241.14,2,6,5,69.1254,62.73
210,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,2.95,,9.844,226.99,1,2,0,58.1648,33.12
211,O=C(OC1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,3.57,,64.0,484.16,1,6,9,130.5232,55.76
212,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,3.47,,7.5,396.17,3,6,6,117.8393,105.82
213,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,6.73,1.62e-06,199.0,315.94,0,0,2,80.632,0.0
214,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,6.13,0.03115,0.0,317.95,0,0,3,80.241,0.0
215,CCOC(=O)C1C(C)=NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,3.86,0.07,0.0,383.07,0,5,4,97.151,64.96
216,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,4.3,0.00327,23.1,301.13,1,4,7,83.4777,56.79
217,COCC(O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,2.01,0.005,3.0,480.18,3,9,8,121.9718,135.68
218,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,5.08,0.0171,12.5,344.01,0,2,4,88.121,18.46
219,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],2.9,0.017,0.0,437.99,1,6,5,91.9344,115.61
220,CC(Cl)(Cl)Cl,2.49,0.6658,0.1203,131.93,0,0,0,25.964,0.0
221,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,1.22,0.77,3.0,268.1,1,3,4,71.0442,41.57
222,CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.07,0.0713,11.3,217.01,1,1,2,55.3827,29.1
223,CCC1(c2ccccc2)NC(=O)N(C)C1=O,1.69,,1.4,218.11,1,2,2,59.7127,49.41
224,CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1,1.81,0.08,64.57,360.18,1,7,5,98.0347,85.81
225,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,7.54,8.62e-09,0.0,403.85,2,2,2,89.0796,40.46
226,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,-1.24,0.951,0.0,236.09,2,6,2,58.3785,93.03
227,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,1.68,0.09194,1.791,253.97,2,4,3,51.7582,85.44
228,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,4.3,0.0003605,18.47,305.16,0,3,2,90.938,35.91
229,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.36,0.04,7.399,437.17,1,5,6,113.5978,29.95
230,CNC(=O)C=C(C)OP(=O)(OC)OC,-0.2,0.898,1.49,223.06,1,5,5,50.5332,73.86
231,O=C(Nc1ccc(Cl)c(S(=O)(=O)N2CCNCC2)c1O)Nc1cccc(F)c1Cl,0.16,,3.0,462.03,4,5,4,108.7967,110.77
232,CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1,1.4,0.00839,19.6,345.09,0,4,5,82.284,39.41
