SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O,-1.76,,,,1134.37,21,35,7,228.4338,554.05
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,-1.45,,,,972.32,18,30,6,195.8004,474.9
C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)(O)[O-].[Na+].[Na+].[Na+],-1.44,,,,405.94,4,11,6,51.1722,211.93
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)O)O,-2.94,,,,342.12,8,11,8,69.8104,197.37
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@]2([C@H]([C@H]([C@@H](O2)O)O)O)CO)O)O)O)O,-3.31,,,,328.1,8,11,4,63.7744,189.53
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O.O.O,-3.32,,,,378.14,8,11,4,75.847,252.53
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)O)O,-1.61,,,,504.17,11,16,11,102.4438,276.52
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,-3.7,,,,342.12,8,11,5,68.6414,189.53
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Al].[Al].[Al].[Al].[Al].[Al].[Al].[Al],-8.46,,,,1981.75,0,35,29,347.315,1456.49
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COS(=O)[O-])OS(=O)[O-])OS(=O)[O-])COS(=O)[O-])OS(=O)[O-])OS(=O)[O-])OS(=O)[O-])OS(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],-0.24,,,,1029.67,0,27,21,130.9294,422.57
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@H]([C@H]([C@@H](C(CO)O)O)O)O)O)O)O)O,-3.07,,,,344.13,9,11,8,70.8322,200.53
C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,-2.43,,,,178.05,4,6,1,34.9862,107.22
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)[S-])O)O)O)O.[Au+],-2.2,0.03,,,392,4,6,1,41.1322,90.15
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O.Cl,-2.37477,,,,215.06,5,6,1,45.2026,116.17
C([C@H]([C@H]([C@@H]([C@@H](CBr)O)O)O)O)Br,-0.24,,,,305.91,4,4,5,51.6152,80.92
C([C@H]([C@H]([C@@H]([C@H]([C@H](C(=O)[O-])O)O)O)O)O)O.[Na+],-2.45,,,,248.05,6,8,6,42.1268,161.51
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Cr+3],-3.4,0.05,,,637.09,15,21,15,108.36,423.84
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.O.O.[Mg+2],-3.175,0.725,,,450.11,10,14,10,85.2216,345.56
C([C@H]([C@H](CO)O)O)O,-2.29,,,,122.06,4,4,3,26.1852,80.92
C([C@H](C(=O)O)N)C(=O)N.O,-3.82,,,,150.06,3,3,3,33.0364,137.91
C([C@H](C(=O)O)N)C(=O)O,-3.89,,,,133.04,3,3,3,27.864,100.62
C([C@H](C(=O)O)N)O,-3.07,,,,105.04,3,3,2,22.697,83.55
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],0.11,,,,195.97,0,8,4,30.7086,172.56
C([N+](=O)[O-])(Br)Br,1.39,,,,216.84,0,2,1,28.6364,43.14
C([N+](=O)[O-])(Cl)(Cl)Cl,2.09,,,,162.9,0,2,0,27.2844,43.14
C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,4.78,,,,257.81,0,0,1,49.17,0
C(=C(Cl)Cl)(Cl)Cl,3.4,0.2463,0.0548,,163.88,0,0,0,30.438,0
C(=C(Cl)Cl)Cl,2.51,0.295,10.98,,129.91,0,0,0,25.642,0
C(=C(I)I)(I)I,2.62,,,,531.62,0,0,0,63.106,0
C(=C/C#N)\C#N,-0.249891,,,,78.02,0,2,0,20.366,47.58
C(=C/C(=O)Cl)\C(=O)Cl,0.13,,,,151.94,0,2,2,30.86,34.14
C(=C/N=O)\NO,-1.07,,,,88.03,2,4,2,19.8572,61.69
C(=N)(N)[Se],-0.1,,,,122.95,2,1,0,17.6681,49.87
C(=N)(N)N.C(=N)(N)N.C(=O)(O)O,-1.1,,,,180.1,8,3,0,42.8566,209.31
C(=N)(N)S(=O)O,-0.51,,,,108,3,2,0,22.6853,87.17
C(=N[N+](=O)[O-])(N)N,-0.89,,,,104.03,2,2,1,22.8042,107.54
C(=O)([O-])[O-].[Mg+2],0.25,0.7,,,83.97,0,3,0,11.15,63.19
C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3],0.25,0.01,,,457.77,0,9,0,16.188,189.57
C(=O)(C(Br)(Br)Br)O,2.83,,,,293.75,1,1,0,37.1478,37.3
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4,8.05E-09,0,,563.96,1,1,9,58.2138,37.3
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.15,0.00284,0,,513.97,1,1,8,53.2668,37.3
