,SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
21795,Cn1ncc(C(=O)N2CCC(Nc3cc(=O)[nH]c4cc(F)c(F)cc34)CC2)c1Cl,2.91,0.4,,,421.11,2,5,3,105.25090000000002,83.02000000000001,2.9099000000000013
21796,Cn1ncc(C(=O)N2CCC(Nc3cc(=O)[nH]c4ccc(F)cc34)CC2)c1Cl,2.77,0.4,,,403.12,2,5,3,105.29290000000003,83.02000000000001,2.7708000000000013
21797,Cn1ncc(C(=O)N2CCC(Nc3cc(=O)[nH]c4ccccc34)CC2)c1Cl,2.63,0.3,,,385.13,2,5,3,105.33490000000005,83.02000000000001,2.6317000000000004
21798,Cn1ncc(C(=O)N2CCC(Nc3cc(=O)n(C)c4ccccc34)CC2)c1Cl,2.64,0.03,,,399.15,1,6,3,109.95520000000003,72.16,2.642100000000001
21799,Cn1ncc(C(=O)NC(Cc2ccc(OC(F)(F)F)c(Cl)c2)C(=O)NC2(C#N)CC2)n1,1.88,0.2264,,,456.09,2,7,7,99.81690000000003,121.92999999999999,1.8805799999999995
21800,Cn1ncc(NC(=O)C2CC3CC3CC2C(=O)c2ccc(-c3cc[nH]n3)cc2)c1C(F)(F)F,4.31,0.066,,,457.17,2,5,5,113.00490000000002,92.67,4.312700000000003
21801,Cn1ncc(NC(=O)C2CCCCC2C(=O)c2ccc(-c3cc[nH]n3)cc2)c1C(F)(F)F,4.46,0.075,,,445.17,2,5,5,110.64190000000004,92.67,4.456800000000003
21802,Cn1ncc2cc(CN3CCOC(COc4ccccc4)C3)ccc21,2.85,0.039,,,337.18,0,5,5,97.66800000000006,39.52,2.8531000000000013
21803,Cn1ncc2cc(Nc3n[nH]c4cccnc34)ccc21,2.59,0.118,,,264.11,2,5,2,77.88540000000002,71.42,2.5882000000000005
21804,Cn1ncc2ccc(Nc3n[nH]c4cccnc34)cc21,2.59,0.093,,,264.11,2,5,2,77.88540000000002,71.42,2.5882000000000005
21805,Cn1nccc1-c1cc(C(F)(F)F)ccc1C1CCc2cc(S(=O)(=O)Nc3ncccn3)ccc21,4.77,0.003,,,499.13,1,6,5,123.09250000000002,89.77,4.7748000000000035
21806,Cn1nccc1-c1cc(C(F)(F)F)ccc1C1CCOc2cc(S(=O)(=O)Nc3ncccn3)ccc21,4.61,0.046,,,515.12,1,7,5,124.88350000000001,99.0,4.611100000000003
21807,Cn1nccc1C1CC(C(F)(F)F)CCN1C1CCOc2cc(S(=O)(=O)Nc3ccncn3)c(F)cc21,3.99,0.016,,,540.16,1,8,5,123.52750000000005,102.24000000000001,3.989200000000003
21808,Cn1nccc1C1CCCCC1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)cc1Cl,3.91,0.009,,,465.1,1,7,6,113.08350000000002,99.0,3.9086000000000025
21809,Cn1nccc1-c1nccc2cc(Nc3n[nH]c4cccnc34)ccc12,3.65,0.00096,,,341.14,2,6,3,101.11640000000001,84.31,3.6502000000000017
21810,Cn1nccc1CCOc1ccc(C2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1,3.88,0.0016,12.0,,471.2,0,8,6,118.82100000000004,73.37,3.882100000000003
21811,Cn1nccc1Nc1nccc(-c2ccn(C(CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1,3.16,0.08,,,440.12,2,8,6,114.85350000000004,97.86,3.156600000000002
21812,Cn1ncn(-c2ccc(C(=O)NC3CCN(c4ncc(Cl)c5c(N)noc45)C3)c(Cl)c2)c1=O,2,0.016,,,488.09,2,10,4,123.12560000000003,137.1,2.0048999999999997
21813,Cn1nnc(-c2c(F)cc(Cl)cc2-c2cnc(CNC(=O)N(O)C3CCC(F)(F)CC3)c(F)c2)n1,4.35,0.013,,,513.13,2,7,5,115.45520000000003,109.06,4.349400000000003
21814,Cn1nnc2ccc(C(=O)NC3CN(c4cc(Cl)ncc4Cl)C3)c(N)c21,1.87,0.084,,,391.07,2,7,3,100.64560000000004,101.96,1.8708999999999993
21815,Cn1nnc2ccc(C(=O)NC3CN(c4cc(Cl)ncc4Cl)C3)cc21,2.29,0.132,,,376.06,1,6,3,96.23320000000004,75.94,2.2886999999999995
21816,Cn1nnc2ccc3c(NC4CN(c5cc(Cl)ncc5Cl)C4)ncnc3c21,2.91,0.021,,,400.07,1,8,3,105.48570000000004,84.65,2.9140000000000015
21817,Cn1sc(=O)c2cc(S(N)(=O)=O)ccc21,,,27.54,,244.0,1,5,1,58.439200000000014,82.16,0.24739999999999984
21818,CNC(=O)C(=O)N(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c2ncccc12,1.11,0.017,,,411.13,3,6,4,106.24970000000002,124.52000000000001,1.1133000000000002
21819,CNC(=O)C(=O)NCCCCC=CCCCCCCCCCC(=O)O,3.17,0.0009,,,354.25,3,3,15,99.25620000000006,95.50000000000001,3.1706000000000003
21820,CNC(=O)C(=O)NCCCCC=CCCCCCCCCCc1nnn[nH]1,2.45,0.0003,,,378.27,3,5,15,104.88510000000005,112.66,2.451699999999999
21821,CNC(=O)C(=O)NCCCCC=CCCCCCCCOCC(=O)O,2.02,0.0063,,,356.23,3,4,15,96.22420000000005,104.73,2.016899999999999
21822,CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3)cc2c1=O,3.44,0.014,,,559.11,2,8,8,141.23519999999988,132.28,3.4425000000000017
21823,CNC(=O)C(c1ccccc1)N1CCn2c(C3CC3)nc(Cl)c2C1CCc1ccc(C(F)(F)F)cc1,5.91,0.01,,,516.19,1,4,7,131.6737,50.160000000000004,5.909500000000006
21824,CNC(=O)C(Cc1ccccc1F)CN1CCC2(CC1)OCCc1cc(F)sc12,3.5,0.11,,,420.17,1,4,5,108.94570000000006,41.57000000000001,3.495000000000002
21825,CNC(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,4.75,0.043,,,462.21,2,3,7,133.37049999999994,52.57000000000001,4.7458000000000045
21826,CNC(=O)C(ON=C(C(=O)NC1C(=O)N(OS(=O)(=O)O)C1(C)C)c1csc(N)n1)c1cc(=O)c(O)cn1O,-2.12,0.0069,,,575.07,6,15,9,125.99670000000003,265.06999999999994,-2.122099999999997
21827,CNC(=O)C12CC1C(n1cnc3c(NC)nc(C#Cc4ccc(Br)s4)nc31)C(O)C2O,1.12,0.0267,,,502.04,4,9,3,118.52600000000002,125.19000000000001,1.1205999999999992
21828,CNC(=O)C12CC1C(n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)C(O)C2O,1.01,0.0267,,,458.09,4,9,3,115.83600000000001,125.19000000000001,1.0114999999999994
21829,CNC(=O)C12CC1C(n1cnc3c(NC)nc(C#Cc4ccco4)nc31)C(O)C2O,-0.11,0.242,,,408.15,4,9,3,105.21500000000002,138.33,-0.11040000000000105
21830,CNC(=O)C12CC1C(n1cnc3c(NC)nc(C#Cc4cnccn4)nc31)C(O)C2O,-0.91,0.612,,,420.17,4,10,3,108.53900000000002,150.97,-0.9134000000000002
21831,CNC(=O)c1c(C(N)=O)nc2n1CCOc1ccc(C#CC(C)(O)c3cc(C)on3)cc1-2,0.96,0.06,,,435.15,3,8,3,112.75490000000002,145.5,0.9566200000000002
