SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,3.6881742537017175,3.9028862723145594,400-500,75-100,5-7,5-7,1-3,3-4,0.05821633900081563
CC(C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,3.6881742537017175,2.7890647440831073,300-400,50-75,5-7,3-5,1-3,>=4,0.24378171445165425
Clc1ccccc1CN1CCc2sccc2C1,3.6881742537017175,4.970271451552798,200-300,<50,<3,1-3,<1,>=4,0.3476237873608727
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,3.6881742537017175,3.4905428381232975,300-400,<50,3-5,1-3,<1,>=4,0.05358515820798229
C=CCOC(=O)c1ccccc1C(=O)OCC=C,3.6881745899724834,3.086667844147708,200-300,50-75,5-7,3-5,<1,3-4,0.16309064044223076
CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C)Cl)C)OC(=O)C,3.6881745899724834,2.5134599304809226,400-500,50-75,<3,3-5,<1,3-4,0.318508424856745
CC(CF)CN1C(C)Cc2cc(O)ccc2C1c1ccc(C=CC(=O)O)cc1,3.6881739174309516,5.542948399503669,300-400,50-75,5-7,3-5,1-3,>=4,0.5028976985825301
CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC,3.6881745899724834,4.964426385618068,300-400,75-100,7-10,7-10,<1,1-2,0.34603888345754297
CCOC(=O)C1=CC=CC=C1C(=O)OCC,3.6881749262432497,4.6925650311110845,200-300,50-75,3-5,3-5,<1,2-3,0.2723271627355164
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.6881749262432497,3.6006000007279004,500-600,100-150,>=10,7-10,1-3,>=4,0.023744788879125296
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,3.6881745899724834,3.249656482282344,200-300,<50,<3,1-3,1-3,3-4,0.11889841556246462
CC1=C(C(=CC=C1)C)O,3.6881745899724834,3.974228231548844,<200,<50,<3,1-3,1-3,2-3,0.07755968146550327
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,3.6881745899724834,4.367618078184806,400-500,50-75,5-7,5-7,<1,>=4,0.18422216277044262
C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,3.6881749262432497,2.9288327648106827,300-400,<50,3-5,3-5,<1,3-4,0.2058856368319124
C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N,3.6881745899724834,4.029117982204077,300-400,50-75,5-7,3-5,<1,3-4,0.09244231520189033
CCOc1ccc(NC(C)=O)cc1,3.6881742537017175,3.209997642178729,<200,<50,3-5,1-3,1-3,1-2,0.12965129711196638
C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,3.6881745899724834,1.3868626995849844,<200,75-100,<3,5-7,1-3,1-2,0.6239704420039089
CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@@]34[C@@H]([C@H]([C@@H]([C@@](O3)(CO4)CO)O)O)O)Cl,3.6881742537017175,2.5216684127124465,400-500,100-150,5-7,7-10,3-5,1-2,0.31628271171868744
COC1=C(C=C(C=C1)OC(F)(F)F)CN[C@H]2CCCN[C@H]2C3=CC=CC=C3,3.6881749262432497,2.8180476535328345,300-400,<50,5-7,3-5,1-3,>=4,0.23592356221709412
COCCOC[C@H](CC1(CCCC1)C(=O)NC2CCC(CC2)C(=O)O)C(=O)OC3=CC4=C(CCC4)C=C3,3.6881742537017175,3.265128731014348,500-600,100-150,>=10,5-7,1-3,3-4,0.11470322770311904
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,3.6881752625140156,3.136955669224982,200-300,<50,3-5,3-5,1-3,3-4,0.14945594063213186
NC(=O)Cn1c(=O)cc(CCN2CCN(c3nccc4sccc34)CC2)c2ccc(F)cc21,3.6881745899724834,2.942476950383015,400-500,75-100,5-7,7-10,1-3,2-3,0.20218610424750608
O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,3.6881739174309516,3.840922478681181,300-400,50-75,<3,5-7,1-3,1-2,0.041415762755529044
CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.6881749262432497,3.3928489637277615,200-300,<50,<3,1-3,1-3,3-4,0.08007374929740207
C[C@H](CO)NC1=NC(=NC2=C1N=CC(=O)N2)SCC3=C(C(=CC=C3)F)F,3.6881745899724834,4.0956544705840825,300-400,100-150,5-7,7-10,3-5,2-3,0.11048280864272923
CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,3.6881745899724834,2.4138759891326176,400-500,75-100,5-7,5-7,1-3,3-4,0.3455093003830651
CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,3.6881742537017175,4.448174329147284,400-500,<50,<3,3-5,1-3,>=4,0.20606402156073025
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.6881742537017175,3.2749914729946883,500-600,75-100,>=10,7-10,1-3,>=4,0.1120290749737351
Oc1ccccc1O,3.6881749262432497,4.687891364891228,<200,<50,<3,1-3,1-3,0-1,0.2710599596288173
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,3.6881742537017175,2.084755199163509,200-300,75-100,<3,3-5,1-3,2-3,0.43474598134946063
C=Cc1ccccc1,3.6881749262432497,4.703924038629804,<200,<50,<3,<1,<1,2-3,0.2754070081801022
C1=CC(=C(C(=C1)Cl)C#N)Cl,3.6881752625140156,2.939251590002979,<200,<50,<3,1-3,<1,2-3,0.20306080063107673
CCC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O,3.6881749262432497,1.9432851782606186,200-300,75-100,3-5,3-5,1-3,1-2,0.4731038986260503
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CO3,3.6881749262432497,4.25503651548135,300-400,100-150,5-7,7-10,3-5,2-3,0.15369706204072062
CC(C)(C)OC,3.6881742537017175,2.549878826883233,<200,<50,<3,1-3,<1,0-1,0.30863382906493503
CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,3.6881745899724834,5.377718266768763,200-300,<50,5-7,1-3,<1,3-4,0.45809753958120464
COc1nc(C)nc(Cl)c1NC1=NCCN1,3.6881745899724834,2.155580485727476,200-300,50-75,<3,5-7,1-3,0-1,0.41554272788175606
CN1CCN(c2cc(Cl)c3[nH]c(Nc4ccc(Br)cn4)nc3c2)CC1,3.6881745899724834,3.1738240641526563,400-500,50-75,3-5,5-7,1-3,3-4,0.13945937805357625
COC1CCC(n2nc(C)c(C(=O)NC(C)C(C)(C)C)c2NS(=O)(=O)c2ccc(C)cc2)CC1,3.6881742537017175,2.3184072597381764,400-500,100-150,7-10,5-7,1-3,>=4,0.3713942991542452
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,3.6881745899724834,1.3346668003452398,200-300,50-75,<3,3-5,1-3,1-2,0.6381226733704843
COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl,3.6881749262432497,4.597751394682993,300-400,50-75,<3,3-5,<1,>=4,0.24661969262807573
N#Cc1cc(Br)c(O)c(Br)c1,3.6881749262432497,3.045163365618585,200-300,<50,<3,1-3,1-3,2-3,0.17434412491956372
CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C,3.6881745899724834,3.742838616914527,300-400,50-75,3-5,3-5,1-3,3-4,0.014821431721276684
C(C(F)(F)F)(Cl)Cl,3.6881745899724834,4.882654669320898,<200,<50,<3,<1,<1,2-3,0.32386755840834597
CCCc1ccc(N)cc1,3.6881742537017175,3.8070266456797297,<200,<50,<3,1-3,1-3,2-3,0.03222526241032669
