SMILES,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
C1=C(C=C(C(=C1Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl)Cl,2.671753423584994e-06,0.4682179179522339,0.0,0.0,0.05,0.4161467245040425,0.0
C1=C(C=C(C(=C1Cl)O)Cl)Cl,0.6259295207876086,0.23693006513541306,0.2,0.1,0.0,0.21908318515933975,0.09748927762517469
C1=C(C=C(C=C1Cl)Cl)C2=CC(=CC(=C2)Cl)Cl,1.2530659924818649e-05,0.3712004342360873,0.0,0.0,0.05,0.3652571472684436,0.0
C1=C(C=C(C=C1Cl)Cl)N,0.8687441860844127,0.18702148325905607,0.2,0.1,0.0,0.20759290776035583,0.12539154739530625
C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F,0.6698212005875988,0.6197863101359844,0.2,0.6000000000000001,0.2,0.44335131736457,0.5358777890222158
C1=CC(=C(C(=C1)Cl)C#N)Cl,0.47339509126842916,0.20127699691463832,0.0,0.1,0.0,0.2091297526776704,0.11464507734567009
C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,0.2444503761335809,0.321334704605188,0.4,0.5,0.05,0.3255907025453423,0.4371355597320611
C1=CC(=C(C(=C1)Cl)Cl)Cl,0.4722637768725987,0.21408981830647925,0.0,0.0,0.0,0.21062799871404783,0.0
C1=CC(=C(C(=C1Cl)C2=C(C=CC(=C2Cl)Cl)Cl)Cl)Cl,0.00010948942057995317,0.4682179179522339,0.0,0.0,0.05,0.4161467245040425,0.0
C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,0.5558157746584189,0.42272311735801615,0.4,0.4,0.15000000000000002,0.4021211100835006,0.4456170786950026
C1=CC(=C(C=C1C2=C(SC(=N2)N)C3=CC=NC=C3)Cl)Cl,0.6283498870073557,0.4155810764484058,0.2,0.4,0.1,0.4327818264279427,0.24962652402293864
C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl,2.6871338687255596e-05,0.3712004342360873,0.0,0.0,0.05,0.3652571472684436,0.0
C1=CC(=C(C=C1Cl)C2=C(NN=C2)N)OC3=CC(=C(C=C3Cl)S(=O)(=O)NC4=CSC=N4)F,0.4393362968415623,0.6698091646668951,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.5985497994127892,0.5926943279841935
C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,0.5707014185815966,0.33990401097017475,0.4,0.2,0.1,0.3506383289934986,0.19497855525034938
C1=CC(=C(C=C1Cl)N)N,0.7085625455010114,0.15995314821163295,0.4,0.2,0.0,0.20455781680666382,0.2507830947906125
C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,0.3791078282905975,0.6455690778196777,0.8,0.5,0.35000000000000003,0.48384966954787,0.4376656546672449
