,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
225,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,6.13,0.03115,0.0,317.95,0.0,0.0,3.0,80.241,0.0
226,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)(C(F)(F)F)C(F)(F)F)O,4.02,0.00685,125.0,336.06,2.0,2.0,2.0,69.1036,40.46
227,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)C(Cl)(Cl)Cl)O,4.62,0.0,136.5,315.98,2.0,2.0,2.0,78.3466,40.46
228,C1=CC(=CC=C1C(F)(F)F)NS(=O)(=O)C2=CC3=C(C=C2)SC(=N3)CO,,,15.49,388.02,2.0,5.0,4.0,87.7953,79.29
229,C1=CC(=CC=C1C2=CC(=NN2C3=CC=C(C=C3)C(=O)O)C(F)(F)F)C(F)(F)F,,,9.33,400.06,1.0,3.0,3.0,85.9633,55.12
230,C1=CC(=CC=C1C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F)C(F)(F)F,,,18.2,435.05,1.0,4.0,3.0,90.3772,77.98
231,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,3.02,9.57e-05,138.0,270.05,3.0,5.0,1.0,72.9144,90.9
232,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,3.24,0.0553,15.4,254.06,2.0,4.0,1.0,71.2496,70.67
233,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,2.96,0.02426,18.69,270.05,3.0,5.0,1.0,72.9144,90.9
234,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,2.91,,25.5,200.08,2.0,2.0,2.0,59.0196,40.46
235,C1=CC(=CC=C1Cl)Cl,3.44,0.02291,130.0,145.97,0.0,0.0,0.0,36.462,0.0
236,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl.[N+](=O)(O)[O-],4.2,0.00553,6.02,443.02,1.0,5.0,6.0,106.4519,90.42
237,C1=CC(=CC=C1N)[N+](=O)[O-],1.39,1.82e-06,23.6,138.04,1.0,3.0,1.0,37.5088,69.16
238,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,1.36,0.3284,0.0,200.09,2.0,3.0,2.0,61.7828,61.27
239,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,0.97,0.295,0.0,248.06,2.0,4.0,2.0,67.1606,86.18
240,C1=CC(=CC=C1N/N=C\2/C3=C(C=CC2=O)C=C(C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],1.97,1.38e-07,18.9,451.97,1.0,9.0,4.0,93.0111,155.86
241,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,-0.1,0.0576,0.0,250.03,2.0,4.0,2.0,61.6654,74.6
242,C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F,4.66,0.0,0.0,307.0,0.0,2.0,2.0,78.237,22.12
243,C1=CC(=CC=C1OC2=CC=C(C=C2)Br)Br,5.72,,12.4,325.89,0.0,1.0,2.0,68.358,9.23
244,C1=CC(=CC=C1S(=O)(=O)NC2=CC3=C(C=C2)SC(=N3)CO)Br,,,24.55,397.94,2.0,5.0,4.0,90.4933,79.29
245,C1=CC(=CC2=C1C=CC(=O)O2)O,1.58,,49.5,162.03,1.0,3.0,0.0,44.1488,50.44
246,C1=CC(=CN=C1)C#N,0.36,,0.0,104.04,0.0,2.0,0.0,28.952,36.68
247,C1=CC(=N)C=CC1=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N.Cl,-0.21,0.235,3.23,323.12,3.0,3.0,2.0,100.9855,75.89
248,C1=CC(=NC(=C1)Cl)C(Cl)(Cl)Cl,3.41,5.81e-08,238.0,228.9,0.0,1.0,0.0,48.484,12.89
249,C1=CC(=O)NNC1=O,-0.84,,0.0,112.03,2.0,2.0,0.0,27.6834,65.72
250,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,6.1,0.04333,4.574,369.82,0.0,0.0,0.0,76.098,0.0
251,C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],1.69,0.06949,24.2,168.02,0.0,4.0,2.0,39.7508,86.28
252,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl,3.59,0.03671,3.788,330.03,1.0,3.0,3.0,87.0368,46.01
253,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,6.92,1.59e-08,15.3,351.91,0.0,0.0,2.0,85.037,0.0
254,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C(=O)O,2.61,0.00918,1.85,320.1,3.0,3.0,4.0,90.5599,77.76
255,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl,2.96,0.03201,17.28,342.03,1.0,2.0,3.0,94.0882,41.99
256,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,2.39,0.09,0.7399,320.01,2.0,3.0,1.0,83.1795,61.69
257,C1=CC=C(C(=C1)C2=NN=C(N=N2)C3=CC=CC=C3Cl)Cl,3.1,0.0,0.0,302.01,0.0,4.0,2.0,78.514,51.56
258,C1=CC=C(C(=C1)C2C(O2)(CN3C=NC=N3)C4=CC=C(C=C4)F)Cl,3.072,0.0575,0.0,329.07,0.0,4.0,4.0,83.378,43.24
259,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl,3.71,0.017,0.0066,311.01,3.0,3.0,4.0,79.1913,69.56
260,C1=CC=C(C(=C1)CC2=CC=C(C=C2)O)O,3.15,0.0426,56.8,200.08,2.0,2.0,2.0,59.0196,40.46
261,C1=CC=C(C(=C1)CC2=CC=CC=C2O)O,3.4,0.041,83.5,200.08,2.0,2.0,2.0,59.0196,40.46
262,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,2.03,,0.7,376.15,3.0,5.0,6.0,106.5113,106.34
263,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4,3.47,,7.5,396.17,3.0,6.0,6.0,117.8393,105.82
264,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,3.88,0.0,22.5,273.96,1.0,4.0,2.0,64.5817,50.7
265,C1=CC=C(C(=C1)O)O,0.88,0.0268,42.3,110.04,2.0,2.0,0.0,29.7716,40.46
266,C1=CC=C(C=C1)[C@H](CNC2=CC=C(C=C2)CCNC[C@@H](C3=CC(=C(C=C3)O)NC=O)O)O,1.26,,3.0,435.22,6.0,6.0,12.0,125.6605,113.85
267,C1=CC=C(C=C1)[N+](=O)[O-],1.85,0.3844,8.168,123.03,0.0,2.0,1.0,33.0964,43.14
268,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3.O,5.13,0.0,7.749,369.03,0.0,0.0,3.0,87.5958,31.5
269,C1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)O,2.83,0.0185,94.1,230.06,3.0,4.0,2.0,61.3109,77.76
270,C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O,2.6,0.0113,39.3,214.06,2.0,3.0,2.0,59.6461,57.53
271,C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)C(=O)C(=NNC4=CC=C(C=C4)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-].[Na+].[Na+],2.89,4.05e-05,1.492,675.05,2.0,12.0,8.0,158.9228,209.68
272,C1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3S2,3.45,,77.62,254.05,1.0,3.0,2.0,74.0152,41.99
